Philadelphia,3/1/21,13100
Virginia,3/1/21,69700
West Virginia,3/1/21,15500
Alabama,3/1/21,40100
Florida,3/1/21,175100
Georgia,3/1/21,83000
Kentucky,3/1/21,36500
Mississippi,3/1/21,24200
North Carolina,3/1/21,83700
South Carolina,3/1/21,41100
Tennessee,3/1/21,54800
Chicago,3/1/21,22300
Illinois,3/1/21,83100
Indiana,3/1/21,53900
Michigan,3/1/21,82700
Minnesota,3/1/21,45200
Ohio,3/1/21,96100
Wisconsin,3/1/21,48000
Arkansas,3/1/21,24400
Louisiana,3/1/21,37900
New Mexico,3/1/21,17200
Oklahoma,3/1/21,31500
Texas,3/1/21,219200
Iowa,3/1/21,25600
Kansas,3/1/21,23400
Missouri,3/1/21,50100
Nebraska,3/1/21,15500
Colorado,3/1/21,45500
Montana,3/1/21,8700
North Dakota,3/1/21,6300
South Dakota,3/1/21,7000
Utah,3/1/21,22800
Wyoming,3/1/21,4800
Arizona,3/1/21,56800
California,3/1/21,320100
Hawaii,3/1/21,11900
Nevada,3/1/21,24000
American Samoa,3/1/21,400
Guam,3/1/21,1300
Marshall Islands,3/1/21,600
Micronesia,3/1/21,800
Mariana Islands,3/1/21,400
Palau,3/1/21,200
Alaska,3/1/21,8900
Idaho,3/1/21,13300
Oregon,3/1/21,34400
Washington,3/1/21,60900
Federal Entities,3/1/21,139200
