California,2/1/21,322000,322000
Chicago,2/1/21,22400,22400
Colorado,2/1/21,45800,45800
Connecticut,2/1/21,30300,30300
Delaware,2/1/21,8000,8000
District of Columbia,2/1/21,6100,6100
Federal Entities,2/1/21,151180,151800
Florida,2/1/21,176100,176100
Georgia,2/1/21,83500,83500
Guam,2/1/21,9200,0
Hawaii,2/1/21,12000,12000
Idaho,2/1/21,13400,13400
Illinois,2/1/21,83600,83600
Indiana,2/1/21,54300,54300
Iowa,2/1/21,25800,25800
Kansas,2/1/21,23500,23500
Kentucky,2/1/21,36700,36700
Louisiana,2/1/21,38100,38100
Maine,2/1/21,11600,11600
Mariana Islands,2/1/21,3200,0
Marshall Islands,2/1/21,6600,0
Maryland,2/1/21,49900,49900
Massachusetts,2/1/21,58400,58400
Michigan,2/1/21,83100,83100
Micronesia,2/1/21,9400,0
Minnesota,2/1/21,45500,45500
Mississippi,2/1/21,24300,24300
Missouri,2/1/21,50400,50400
Montana,2/1/21,8800,8800
Nebraska,2/1/21,15500,15500
Nevada,2/1/21,24100,24100
New Hampshire,2/1/21,11600,11600
New Jersey,2/1/21,74000,74000
New Mexico,2/1/21,17300,17300
New York,2/1/21,94200,94200
New York City,2/1/21,71500,71500
North Carolina,2/1/21,84200,84200
North Dakota,2/1/21,6400,6400
Ohio,2/1/21,96600,96600
Oklahoma,2/1/21,31700,31700
Oregon,2/1/21,34600,34600
Palau,2/1/21,2800,0
Pennsylvania,2/1/21,95200,95200
Philadelphia,2/1/21,13200,13200
Puerto Rico,2/1/21,28900,28900
Rhode Island,2/1/21,9100,9100
South Carolina,2/1/21,41400,41400
South Dakota,2/1/21,7000,7000
Tennessee,2/1/21,55200,55200
Texas,2/1/21,220500,220500
U.S. Virgin Islands,2/1/21,900,900
Utah,2/1/21,22900,22900
Vermont,2/1/21,5500,5500
Virginia,2/1/21,70100,70100
Washington,2/1/21,61300,61300
West Virginia,2/1/21,15600,15600
Wisconsin,2/1/21,48300,48300
Wyoming,2/1/21,4800,4800
Alabama,1/25/21,30600,30600
Alaska,1/25/21,0,0
American Samoa,1/25/21,0,0
Arizona,1/25/21,43400,43400
Arkansas,1/25/21,18600,18600
California,1/25/21,244000,244000
Chicago,1/25/21,17000,17000
Colorado,1/25/21,34700,34700
Connecticut,1/25/21,23000,23000
Delaware,1/25/21,6100,6100
District of Columbia,1/25/21,4600,4600
Federal Entities,1/25/21,105300,105300
Florida,1/25/21,133500,133500
Georgia,1/25/21,63300,63300
Guam,1/25/21,0,0
Hawaii,1/25/21,9100,9100
Idaho,1/25/21,10200,10200
Illinois,1/25/21,63300,63300
Indiana,1/25/21,41100,41100
Iowa,1/25/21,19500,19500
Kansas,1/25/21,17800,17800
Kentucky,1/25/21,27900,27900
Louisiana,1/25/21,28900,28900
Maine,1/25/21,8800,8800
Mariana Islands,1/25/21,0,0
Marshall Islands,1/25/21,0,0
Maryland,1/25/21,37800,37800
Massachusetts,1/25/21,44300,44300
Michigan,1/25/21,63000,63000
Micronesia,1/25/21,0,0
Minnesota,1/25/21,34500,34500
Mississippi,1/25/21,18500,18500
Missouri,1/25/21,38200,38200
Montana,1/25/21,6700,6700
Nebraska,1/25/21,11800,11800
Nevada,1/25/21,18300,18300
New Hampshire,1/25/21,8800,8800
New Jersey,1/25/21,56100,56100
New Mexico,1/25/21,13200,13200
New York,1/25/21,71400,71400
New York City,1/25/21,54200,54200
North Carolina,1/25/21,63800,63800
North Dakota,1/25/21,4800,4800
Ohio,1/25/21,73200,73200
Oklahoma,1/25/21,24100,24100
Oregon,1/25/21,26200,26200
Palau,1/25/21,0,0
Pennsylvania,1/25/21,72100,72100
Philadelphia,1/25/21,10000,10000
Puerto Rico,1/25/21,21900,21900
Rhode Island,1/25/21,6900,6900
South Carolina,1/25/21,31400,31400
South Dakota,1/25/21,5300,5300
Tennessee,1/25/21,41800,41800
Texas,1/25/21,167100,167100
U.S. Virgin Islands,1/25/21,700,700
Utah,1/25/21,17400,17400
Vermont,1/25/21,4200,4200
Virginia,1/25/21,53100,53100
Washington,1/25/21,46500,46500
West Virginia,1/25/21,11900,11900
Wisconsin,1/25/21,36700,36700
Wyoming,1/25/21,3700,3700
Alabama,1/18/21,30600,30600
Alaska,1/18/21,0,0
American Samoa,1/18/21,0,0
Arizona,1/18/21,43400,43400
Arkansas,1/18/21,18600,18600
California,1/18/21,244000,244000
Chicago,1/18/21,17000,17000
Colorado,1/18/21,34700,34700
Connecticut,1/18/21,23000,23000
Delaware,1/18/21,6100,6100
District of Columbia,1/18/21,4600,4600
Federal Entities,1/18/21,105000,105000
Florida,1/18/21,133500,133500
Georgia,1/18/21,63300,63300
Guam,1/18/21,0,0
Hawaii,1/18/21,9100,9100
Idaho,1/18/21,10200,10200
Illinois,1/18/21,63300,63300
Indiana,1/18/21,41100,41100
Iowa,1/18/21,19500,19500
Kansas,1/18/21,17800,17800
Kentucky,1/18/21,27900,27900
Louisiana,1/18/21,28900,28900
Maine,1/18/21,8800,8800
Mariana Islands,1/18/21,0,0
Marshall Islands,1/18/21,0,0
Maryland,1/18/21,37800,37800
Massachusetts,1/18/21,44300,44300
Michigan,1/18/21,63000,63000
Micronesia,1/18/21,0,0
Minnesota,1/18/21,34500,34500
Mississippi,1/18/21,18500,18500
Missouri,1/18/21,38200,38200
Montana,1/18/21,6700,6700
Nebraska,1/18/21,11800,11800
Nevada,1/18/21,18300,18300
New Hampshire,1/18/21,8800,8800
